strain	row_ID	col_ID	OD	limit_check	format_check	target_OD	transfer_volume_required	transfer_max_volume_check	correction_factor_volume	transfer_volume	sum_of_volumes	total_volume_check	total_volume_correction_factor	mimimum_transfer_volume_check	total_volume_fail	mimimum_transfer_volume_fail	format_fail	limit_fail	transfer_volume_fail	correction_factor_combined	error_type
donor	D	2	0.1101	TRUE	TRUE	0.25	681.1989100817439	FALSE	0.5138	350	381.2046400048587	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.51	transfer_volume_fail
donor	D	3	0.12489999999999998	TRUE	TRUE	0.125	300.240192153723	TRUE	1	300.240192153723	361.0313895883345	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	D	4	0.1304	TRUE	TRUE	0.0625	143.78834355828224	TRUE	1	143.78834355828224	204.68782895763061	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	D	5	0.1387	TRUE	TRUE	0.03125	67.59192501802451	TRUE	1	67.59192501802451	123.74409740519374	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	D	6	0.1154	TRUE	TRUE	0.5	1299.8266897746967	FALSE	0.26926666666666665	349.99999999999994	572.029822029822	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.27	transfer_volume_fail
donor	D	7	0.1415	TRUE	TRUE	0.25	530.035335689046	FALSE	0.48116249999999994	255.03312720848055	605.0331272084806	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.48	transfer_volume_fail
donor	D	8	0.1387	TRUE	TRUE	0.125	270.36770007209805	FALSE	0.6174	166.92501802451332	516.9250180245133	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.62	transfer_volume_fail
donor	D	9	0.1273	TRUE	TRUE	0.0625	147.28986645718774	FALSE	0.7205625	106.13155439905734	456.13155439905734	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.72	transfer_volume_fail
donor	D	10	0.12489999999999998	TRUE	TRUE	0.03125	75.06004803843075	FALSE	0.7662375	57.513823558847086	407.5138235588471	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.77	transfer_volume_fail
donor	D	11	0.13149999999999998	TRUE	TRUE	0	0	TRUE	1	0	174.2362643744918	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	D	12	0.161	TRUE	TRUE	0	0	TRUE	1	0	174.49976733364358	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	E	1	0.13629999999999998	TRUE	TRUE	0.5	1100.513573000734	FALSE	0.3180333333333333	350	362.5676312037119	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.32	transfer_volume_fail
donor	E	2	0.119	TRUE	TRUE	0.25	630.2521008403362	FALSE	0.5553333333333332	350	374.58070060898467	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.56	transfer_volume_fail
donor	E	3	0.1226	TRUE	TRUE	0.125	305.8727569331158	TRUE	1	305.8727569331158	345.85336633755463	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	E	4	0.1465	TRUE	TRUE	0.0625	127.9863481228669	TRUE	1	127.9863481228669	168.8041324314902	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	E	5	0.1576	TRUE	TRUE	0.03125	59.486040609137056	TRUE	1	59.486040609137056	96.75601498602968	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	E	6	0.1358	TRUE	TRUE	0.5	1104.5655375552283	FALSE	0.3168666666666667	350	529.5151429313316	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.32	transfer_volume_fail
donor	E	7	0.152	TRUE	TRUE	0.25	493.42105263157896	FALSE	0.7093333333333334	350	696.8198671719025	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.71	transfer_volume_fail
donor	E	8	0.1449	TRUE	TRUE	0.125	258.7991718426501	FALSE	0.9686249999999997	250.67934782608685	600.6793478260869	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.97	transfer_volume_fail
donor	E	9	0.1474	TRUE	TRUE	0.0625	127.20488466757124	FALSE	0.9556312499999999	121.56096294097692	471.56096294097694	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.96	transfer_volume_fail
donor	E	10	0.1377	TRUE	TRUE	0.03125	68.08278867102398	TRUE	1	68.08278867102398	387.3675907144468	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	E	11	0.1316	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	E	12	0.13899999999999998	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	F	1	0.1442	TRUE	TRUE	0.5	1040.2219140083218	FALSE	0.33646666666666664	350	360.96379931381216	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.34	transfer_volume_fail
donor	F	2	0.1541	TRUE	TRUE	0.25	486.6969500324465	FALSE	0.7191333333333333	350	369.7567494863122	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.72	transfer_volume_fail
donor	F	3	0.13199999999999998	TRUE	TRUE	0.125	284.0909090909091	TRUE	1	284.0909090909091	310.1503898557549	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	F	4	0.13199999999999998	TRUE	TRUE	0.0625	142.04545454545456	TRUE	1	142.04545454545456	165.84435384636188	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	F	5	0.1684	TRUE	TRUE	0.03125	55.67102137767221	TRUE	1	55.67102137767221	81.48192745339819	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	F	6	0.1261	TRUE	TRUE	0.5	1189.5321173671691	FALSE	0.2942333333333333	350	425.3828334747775	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.29	transfer_volume_fail
donor	F	7	0.1664	TRUE	TRUE	0.25	450.72115384615387	FALSE	0.7765333333333333	350	508.95264291349497	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.78	transfer_volume_fail
donor	F	8	0.1463	TRUE	TRUE	0.125	256.32262474367735	TRUE	1	256.32262474367735	479.5213413510569	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	F	9	0.1656	TRUE	TRUE	0.0625	113.22463768115942	TRUE	1	113.22463768115942	363.58061258297295	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	F	10	0.1684	TRUE	TRUE	0.03125	55.67102137767221	TRUE	1	55.67102137767221	259.5212424277556	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	F	11	0.14329999999999998	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	F	12	0.1359	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	G	1	0.1502	TRUE	TRUE	0.5	998.6684420772303	FALSE	0.35046666666666665	350	355.5377956594748	TRUE	1	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	0.35	mimimum_transfer_volume_fail
donor	G	2	0.16649999999999998	TRUE	TRUE	0.25	450.4504504504505	FALSE	0.7769999999999999	350	361.3816449003694	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.78	transfer_volume_fail
donor	G	3	0.1384	TRUE	TRUE	0.125	270.95375722543355	TRUE	1	270.95375722543355	291.47218084624285	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	G	4	0.1498	TRUE	TRUE	0.0625	125.16688918558079	TRUE	1	125.16688918558079	139.61578569626258	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	G	5	0.16319999999999998	TRUE	TRUE	0.03125	57.44485294117648	TRUE	1	57.44485294117648	72.60222434982678	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	G	6	0.142	TRUE	TRUE	0.5	1056.3380281690143	FALSE	0.33133333333333326	350	404.4723759224152	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.33	transfer_volume_fail
donor	G	7	0.1656	TRUE	TRUE	0.25	452.8985507246377	FALSE	0.7728	350	463.58024691358025	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.77	transfer_volume_fail
donor	G	8	0.17129999999999998	TRUE	TRUE	0.125	218.91418563922946	TRUE	1	218.91418563922946	306.355913924989	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	G	9	0.171	TRUE	TRUE	0.0625	109.64912280701753	TRUE	1	109.64912280701753	268.88399922582516	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
